date,W1_m3_day,W2_m3_day
2003-01-01,-50.0,0.0
2003-01-18,-50.0,0.0
2003-02-02,-250.0,-250.0
2003-02-21,-250.0,-250.0
2003-03-03,-25.0,0.0
2003-03-24,-25.0,0.0
2003-04-05,0.0,-125.0
2003-04-19,0.0,-125.0
2003-05-04,0.0,0.0
2003-05-22,0.0,0.0
2003-06-06,0.0,0.0
2003-06-23,0.0,0.0
2003-07-02,0.0,-125.0
2003-07-20,0.0,-125.0
2003-08-07,0.0,0.0
2003-08-25,0.0,0.0
2003-09-09,0.0,0.0
2003-09-21,0.0,0.0
2003-10-03,0.0,0.0
2003-10-19,0.0,0.0
2003-11-08,0.0,0.0
2003-11-24,0.0,0.0
2003-12-05,-250.0,-250.0
2003-12-20,-250.0,-250.0
