case_id,site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,site_status,maturity,tags,recipe_id,recipe_label,launcher,reason,detail,missing_fields,config_path,status,returncode,duration_seconds,reused_from_report,child_artifacts_json,child_wall_time_seconds,child_success,site_tags,cluster_tags
headwater_backend_compare::headwater_100km2_outlet_10,headwater_100km2_outlet_10,Headwater 100 km2 outlet 10,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_2,headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,ready,validated,"[""regional_headwater"", ""simulation_ready"", ""backend_ready"", ""transient_ready""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_27,headwater_100km2_outlet_27,Headwater 100 km2 outlet 27,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,ok,screening,"[""regional_headwater"", ""mesh_ready"", ""simulation_ready"", ""bundle_sanitized_from_mean""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_3,headwater_100km2_outlet_3,Headwater 100 km2 outlet 3,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_4,headwater_100km2_outlet_4,Headwater 100 km2 outlet 4,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_5,headwater_100km2_outlet_5,Headwater 100 km2 outlet 5,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_6,headwater_100km2_outlet_6,Headwater 100 km2 outlet 6,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_7,headwater_100km2_outlet_7,Headwater 100 km2 outlet 7,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_8,headwater_100km2_outlet_8,Headwater 100 km2 outlet 8,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
headwater_backend_compare::headwater_100km2_outlet_9,headwater_100km2_outlet_9,Headwater 100 km2 outlet 9,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,inventory,screening,"[""regional_headwater""]",headwater_backend_compare,Headwater backend comparison,method-comparison,unsupported_platform,Recipe only supports platform(s): linux. Current platform: windows,[],,skipped_unsupported_platform,,,false,,,,,
